27.05.2025 23:00:23 CEST,1,C8FJ558Z,2575YNWY,275,"Bei der Frau wird der Geschlechtshöcker zur Klitoris , die Falten bilden die kleinen Schamlippen und die Wülste die großen .
"
27.05.2025 23:00:23 CEST,2,C8FJ558Z,2QF72USH,322,"Der äußere Schließmuskel der Urethra M. sphincter urethrae diaphragmaticae bleibt im Niveau des Diaphragma urogenitale und der M. ischiocavernosus hat eine Sonderaufgabe für den Schwellkörper des Penis bzw. der Klitoris .
"
27.05.2025 23:00:23 CEST,3,C8FJ558Z,3LH4FBVU,325,"Der M. bulbocavernosus der Frau ( Abb.192 ) bietet primitivere Verhältnisse als beim Mann , da er die Scheide umschnürt und hierin dem Sphincter cloacae nahesteht .
Er bildet ein plattes Muskelband , das auf dem Bulbus vestibuli liegt , vorn und hinten sind die Züge durch eine Rhaphe unterbrochen .
"
27.05.2025 23:00:24 CEST,4,C8FJ558Z,5AARTLLG,321,"Kurzer Rückblick .
Zwischen den großen Schamlippen der Scheidenvorhof , Vestibulum vaginae , begrenzt von den kleinen Schamlippen .
Die letzten umgeben mit einer Hautfalte , Praeputium clitoridis , die Klitoris .
Unterhalb der Klitoris das Orificium urethrae ext .
Abschluß des Vestibulum durch den Hymen .
Drüsen : Glandulae vestibulares minores und Gl .
vestibularis major ( Bartholini ) , letzte in der Basis der kleinen Schamlippen .
Hier liegen auch die Schwellkörper , Bulbi vestibuli .
"
27.05.2025 23:00:24 CEST,5,C8FJ558Z,99Y5GLZ5,325,"Der Muskel { M. bulbocavernosus } übt eine schnürende Wirkung auf den Scheideneingang aus und hieß daher früher M. constrictor cunni .
Inwieweit er den Füllungszustand des bedeckten Schwellkörpers beeinflußt , an den auch Fasern ansetzen , ist unbekannt .
Da die Bartholinische Drüse zum Teil von den Muskelfasern umgriffen wird , kann sie während des Beischlafs durch Muskelwirkung stoßweise entleert werden .
"
27.05.2025 23:00:24 CEST,6,C8FJ558Z,AIAWGWBX,324f,"Das Diaphragma ist durchsetzt mit glatten Muskelfasern und enthält reichlich Bindegewebe , das sich an der äußeren und inneren Oberfläche zur Fascia diaphragmaltis urogenitalis interna und externa verdichtet .
Gegen die Symphyse hin gehen die Faszien in ein Lig .
praeurethrale über , das in bogenförmigem Verlauf am unteren Symphysenrand unter der Vena dorsalis penis ( bzw. clitoridis ) subfascialis verläuft .
"
27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,"ie Klitoris , die ein Analogon des Penis darstellt und erektilist , wird am unteren Symphysenrand durch das Lig .
suspensorium clitoridis aufgehängt .
Sie entsteht aus der Verschmelzung der beiden Crura clitoridis , die als Schwellkörper vom unteren Rand der absteigenden Schambeinäste herkommen und im Orgasmus anschwellen .
Die Crura vereinigen sich in der Mitte zum Corpus clitoridis und entsprechen den Schwellkörpern des Penis .
Die vorderen Enden der kleinen Schamlippen umschließen als Hautfalte die Klitoris , indem sie auf deren Rücken das Praeputium .
clitoridis bilden , das nur die Eichel des Kitzlers , Glans clitoridis hervorschauen läßt , während sie unterhalb der Klitoris sich zum Frenulum clitoridis vereinigen ( Abb .
190 ) .
Die Klitoris kann bei Pseudohermaphreditismus femininus ext .
der Größe eines männlichen Penis nahe kommen .
"
27.05.2025 23:00:25 CEST,8,C8FJ558Z,DBNG8FA6,320,"Zu beiden Seiten des Scheidenvorhofs liegen an der Basis der kleinen Schamlippen die Schwellkörper des Vorhofs , Bulbi vestibuli .
Während die Schwellkörper der Klitoris den Schwellkörpern des Penis entsprechen , bilden die Bulbi vestibuli das Gegenstück zu dem Corpus cavernosum urethrae des Mannes .
Denken wir uns die Harnröhre des Mannes von unten her aufgeschlitzt und weit auseinandergedrängt , dann ist der Sinus urogenitalis wieder eröffnet und die Schwellkörper geraten in eine ähnliche Lage wie bei der Frau .
Die paarigen Bulbi vestibuli sind am dorsalen Ende keulenförmig verdickt und verjüngen sich ventral , um sich über die Harnröhrenmündung hinweg mit kleinen Venengeflechten an der Glans clitoridis zu verbinden ( Abb .
1735 ) .
"
27.05.2025 23:00:25 CEST,9,C8FJ558Z,DEEJEVGH,320,"Dazu kommen das Sekret der Talgdrüsen und die abgeschilferten Epithelien , die ähnlich wie in der Vorhauttasche des männlichen Gliedes eine Schmiere , Smegma , erzeugen .
"
27.05.2025 23:00:25 CEST,10,C8FJ558Z,KBZKCMZT,321,"ie Arterien stammen größtenteils aus der A. pudendalis int . , zum geringen Teil aus den Aa .
pudendales extt .
Aus der A. pudendalis int .
gehen die Aa .
labiales zu den kleinen Schamlippen , die A. bulbi vestibuli zum Bulbus vestibuli , die A. profunda clitoridis zum Crus clitoridis und die A. dorsalis clitoridis zur Glans clitoridis .
Die V. dorsalis clitoridis nimmt das Blut der Glans und des Corpus clitoridis auf .
Der Bulbus vestibuli schickt seine Venen zu dem Plexus uterovaginalis , zum Teil in die Venae obturatoriae , außerdem bestehen Verbindungen zu den übrigen Venen der äußeren Geschlechtsorgane .
"
